epoch,acc,loss,val_acc,val_loss
0,0.5335285067558289,0.690101146697998,0.5510355234146118,0.6859741806983948
1,0.5492411851882935,0.6861749887466431,0.5500440001487732,0.6858326196670532
2,0.5499070286750793,0.6858596205711365,0.5520524978637695,0.6852787137031555
3,0.5500869750976562,0.6857517957687378,0.5520445108413696,0.6853428483009338
4,0.5502486824989319,0.6857030391693115,0.5505130290985107,0.6859006285667419
5,0.5504235029220581,0.6856610178947449,0.5518550276756287,0.6854733824729919
6,0.5504835247993469,0.68562251329422,0.5511144995689392,0.6853869557380676
7,0.5505635142326355,0.6856005191802979,0.5524454712867737,0.685298502445221
8,0.5505111813545227,0.6855851411819458,0.5518385171890259,0.685255229473114
9,0.5506271719932556,0.6855747699737549,0.5512174963951111,0.6853539347648621
10,0.5505074858665466,0.6855862736701965,0.5521435141563416,0.6852355599403381
11,0.5504801869392395,0.6855636239051819,0.551769495010376,0.6854217052459717
12,0.5506406426429749,0.6855597496032715,0.5518050193786621,0.6852356791496277
13,0.5507031679153442,0.6855531930923462,0.5519409775733948,0.6851707696914673
14,0.550670862197876,0.6855441927909851,0.5520740151405334,0.6851710081100464
15,0.5506313443183899,0.6855300664901733,0.5508040189743042,0.6854850649833679
16,0.5506348609924316,0.685526967048645,0.5511369705200195,0.6853898763656616
17,0.5506309866905212,0.6855304837226868,0.5518500208854675,0.6852422952651978
18,0.5506711602210999,0.6855323910713196,0.5521515011787415,0.6852166652679443
19,0.5506168603897095,0.6855173707008362,0.5521554946899414,0.685273289680481
20,0.5507201552391052,0.685513973236084,0.5516330003738403,0.685319721698761
21,0.5505801439285278,0.6855115294456482,0.5519285202026367,0.6853156685829163
22,0.5507803559303284,0.6855066418647766,0.5512620210647583,0.685396134853363
23,0.5507886409759521,0.6855104565620422,0.5518100261688232,0.6853237748146057
24,0.5506190061569214,0.6855100989341736,0.5524119734764099,0.6852672696113586
25,0.5507146716117859,0.6855084300041199,0.5518410205841064,0.6852923035621643
26,0.5507033467292786,0.6854994297027588,0.5523815155029297,0.6851967573165894
27,0.5506548285484314,0.6855003833770752,0.5518444776535034,0.6852161288261414
28,0.5505531430244446,0.6855045557022095,0.5523419976234436,0.6852269172668457
