epoch,acc,loss,val_acc,val_loss
0,0.5028740763664246,0.6947163343429565,0.5049371719360352,0.6930815577507019
1,0.504589855670929,0.6930860280990601,0.5058379769325256,0.6930676102638245
2,0.505795955657959,0.6930290460586548,0.5060327053070068,0.6930044293403625
3,0.5066977143287659,0.6929964423179626,0.506981372833252,0.6929894089698792
4,0.5070705413818359,0.692983090877533,0.5069646239280701,0.6929858326911926
5,0.5072929859161377,0.6929729580879211,0.5067166090011597,0.6929913759231567
6,0.5074305534362793,0.6929647922515869,0.5075984001159668,0.6929602026939392
7,0.5074787735939026,0.6929636001586914,0.5077574253082275,0.6929540038108826
8,0.50750333070755,0.6929618716239929,0.5077096819877625,0.6929532289505005
9,0.5075821280479431,0.6929581761360168,0.5075792074203491,0.6929593682289124
10,0.5075973272323608,0.6929569244384766,0.5077490210533142,0.6929526925086975
11,0.5076356530189514,0.6929559707641602,0.5079302787780762,0.6929439306259155
12,0.5076838135719299,0.692955732345581,0.5078246593475342,0.692946195602417
13,0.5076325535774231,0.6929542422294617,0.5076900124549866,0.69295734167099
14,0.5077067613601685,0.6929521560668945,0.5079178214073181,0.6929448843002319
15,0.5077094435691833,0.6929536461830139,0.5078234672546387,0.692949652671814
16,0.5077054500579834,0.6929529905319214,0.507458508014679,0.6929636001586914
17,0.5077393054962158,0.6929516792297363,0.5079230666160583,0.6929446458816528
18,0.5077276229858398,0.6929517388343811,0.5078302621841431,0.6929477453231812
19,0.5077270865440369,0.6929514408111572,0.5078408718109131,0.6929466724395752
20,0.507722795009613,0.6929518580436707,0.5077837705612183,0.6929509043693542
21,0.5077754259109497,0.6929498910903931,0.5079615116119385,0.6929449439048767
22,0.5077704787254333,0.6929502487182617,0.5079168081283569,0.692946195602417
23,0.507771372795105,0.692950427532196,0.5079522132873535,0.6929463744163513
24,0.5077769756317139,0.6929490566253662,0.507735013961792,0.6929537653923035
25,0.5077672600746155,0.6929481625556946,0.5079401731491089,0.6929448246955872
26,0.5077970027923584,0.6929497718811035,0.5077962279319763,0.6929492354393005
